# newdoc
# newpar
# sent_id = 1
1	John	John	PROPN	NNP	Number=Sing	3	compound	_	_
2	bore	bore	NOUN	NN	Number=Sing	3	compound	_	_
3	witness	witness	NOUN	NN	Number=Sing	0	root	_	_
4	to	to	ADP	TO	_	5	case	_	_
5	him	him	PRON	PRP	Case=Acc|Gender=Masc|Number=Sing|Person=3|PronType=Prs	3	nmod	_	_
6	,	,	PUNCT	,	_	8	punct	_	_
7	and	and	CCONJ	CC	_	8	cc	_	_
8	cried	cry	VERB	VBD	Mood=Ind|Tense=Past|VerbForm=Fin	3	conj	_	_
9	,	,	PUNCT	,	_	17	punct	_	_
10	"	"	PUNCT	``	_	17	punct	_	_
11	This	This	PRON	DT	Number=Sing|PronType=Dem	17	nsubj	_	_
12	was	be	AUX	VBD	Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin	17	cop	_	_
13	he	he	PRON	PRP	Case=Nom|Gender=Masc|Number=Sing|Person=3|PronType=Prs	17	nsubj	_	_
14	of	of	ADP	IN	_	15	case	_	_
15	whom	whom	PRON	WP	PronType=Int	17	obl	_	_
16	I	I	PRON	PRP	Case=Nom|Number=Sing|Person=1|PronType=Prs	17	nsubj	_	_
17	said	say	VERB	VBD	Mood=Ind|Tense=Past|VerbForm=Fin	8	ccomp	_	_
18	,	,	PUNCT	,	_	22	punct	_	_
19	'	'	PUNCT	``	_	22	punct	_	_
20	He	he	PRON	PRP	Case=Nom|Gender=Masc|Number=Sing|Person=3|PronType=Prs	22	nsubj	_	_
21	who	who	PRON	WP	PronType=Rel	22	nsubj	_	_
22	comes	come	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	17	ccomp	_	_
23	after	after	SCONJ	IN	_	25	mark	_	_
24	me	me	PRON	PRP	Case=Acc|Number=Sing|Person=1|PronType=Prs	25	nsubj	_	_
25	ranks	rank	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	22	advcl	_	_
26	before	before	ADP	IN	_	27	case	_	_
27	me	me	PRON	PRP	Case=Acc|Number=Sing|Person=1|PronType=Prs	25	obl	_	_
28	,	,	PUNCT	,	_	33	punct	_	_
29	for	for	ADP	IN	_	33	case	_	_
30	he	he	PRON	PRP	Case=Nom|Gender=Masc|Number=Sing|Person=3|PronType=Prs	33	nsubj	_	_
31	was	be	AUX	VBD	Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin	33	cop	_	_
32	before	before	ADP	IN	_	33	case	_	_
33	me	me	PRON	PRP	Case=Acc|Number=Sing|Person=1|PronType=Prs	22	conj	_	_
34	.	.	PUNCT	.	_	22	punct	_	_
35	'	'	PUNCT	''	_	22	punct	_	_


